Segment,Segment Users,Total Additions,Total Subtractions,
59430,1047,1047,0,
60330,4011,4011,0,
59565,415,415,0,
59564,3367,3367,0,
47898,14356,14356,0,
67243,1189,1189,0,
59442,2691,2691,0,
51163,1541,1541,0,
51135,5922,5922,0,
51128,6263,6263,0,
66650,1703,1703,0,
66646,2097,2097,0,
66609,1506,1506,0,
56574,3169,3169,0,
51139,17212,17212,0,
67255,323,323,0,
47555,17117,17117,0,
47558,17392,17392,0,
43997,7114,7114,0,
47494,6218,6218,0,
44025,1160,1160,0,
48684,3366,3366,0,
49592,2270,2270,0,
43928,3000,3000,0,
64038,1332,1332,0,
47489,7834,7834,0,
47509,5060,5060,0,
50752,763,763,0,
63830,1420,1420,0,
63831,134,134,0,
36564,8759,8759,0,
32567,1065,1065,0,
44004,2054,2054,0,
63819,1187,1187,0,
32604,2326,2326,0,
63828,1358,1358,0,
43957,1519,1519,0,
43847,3099,3099,0,
43954,7452,7452,0,
62407,3388,3388,0,
56837,1041,1041,0,
44778,707,707,0,
59582,5514,5514,0,
44815,354,354,0,
44074,649,649,0,
51179,550,550,0,
51182,652,652,0,
43633,4776,4776,0,
44030,551,551,0,
67270,3951,3951,0,
67249,988,988,0,
66866,2091,2091,0,
66865,1858,1858,0,
69197,242,242,0,
69196,317,317,0,
66626,1460,1460,0,
66622,2279,2279,0,
66619,3132,3132,0,
66628,1900,1900,0,
69195,237,237,0,
66629,1433,1433,0,
66631,2516,2516,0,
69204,150,150,0,
69206,117,117,0,
69209,81,81,0,
69210,212,212,0,
69193,334,334,0,
66634,1328,1328,0,
69205,707,707,0,
66611,2305,2305,0,
66612,1465,1465,0,
66627,1365,1365,0,
67263,4581,4581,0,
32596,1751,1751,0,
67879,313,313,0,
62341,2588,2588,0,
63931,929,929,0,
32594,4676,4676,0,
67878,353,353,0,
67877,588,588,0,
67875,703,703,0,
67859,3221,3221,0,
44026,1330,1330,0,
59560,340,340,0,
59444,2231,2231,0,
56571,2055,2055,0,
59572,337,337,0,
67205,612,612,0,
59587,8336,8336,0,
61823,979,979,0,
44002,2431,2431,0,
44022,393,393,0,
43943,371,371,0,
55991,5074,5074,0,
48681,2405,2405,0,
44000,2433,2433,0,
59591,559,559,0,
51132,5018,5018,0,
67938,612,612,0,
62386,1527,1527,0,
43958,3041,3041,0,
59590,1040,1040,0,
32589,2437,2437,0,
63964,1884,1884,0,
50772,350,350,0,
43956,1260,1260,0,
62374,1531,1531,0,
55269,3339,3339,0,
44019,761,761,0,
51026,528,528,0,
44069,1391,1391,0,
48682,1219,1219,0,
48683,1497,1497,0,
51176,1392,1392,0,
66616,1518,1518,0,
66615,1270,1270,0,
66614,2248,2248,0,
66867,4311,4311,0,
43930,1737,1737,0,
43950,2613,2613,0,
59589,1085,1085,0,
43917,2762,2762,0,
51184,1444,1444,0,
44075,1443,1443,0,
59562,2795,2795,0,
44029,1717,1717,0,
51178,1718,1718,0,
56572,2147,2147,0,
63974,687,687,0,
63975,770,770,0,
63976,1101,1101,0,
44047,944,944,0,
44784,543,543,0,
43947,1244,1244,0,
67225,2349,2349,0,
55947,446,446,0,
67267,478,478,0,
51172,542,542,0,
51152,1473,1473,0,
55944,1956,1956,0,
51175,1285,1285,0,
59632,2681,2681,0,
56375,2391,2391,0,
56378,2278,2278,0,
56573,2323,2323,0,
57109,370,370,0,
56372,115,115,0,
56373,1133,1133,0,
51166,311,311,0,
67257,785,785,0,
67937,225,225,0,
67860,349,349,0,
59576,819,819,0,
59433,707,707,0,
59573,1864,1864,0,
64063,424,424,0,
59505,1020,1020,0,
32595,596,596,0,
66641,1882,1882,0,
66639,1936,1936,0,
65794,195,195,0,
66649,347,347,0,
66643,236,236,0,
66647,347,347,0,
59504,874,874,0,
56596,1014,1014,0,
44018,1376,1376,0,
56380,2291,2291,0,
67312,1725,1725,0,
67172,569,569,0,
67215,746,746,0,
67259,664,664,0,
66632,1014,1014,0,
59427,675,675,0,
56379,2715,2715,0,
56371,1773,1773,0,
59630,929,929,0,
66636,1652,1652,0,
66874,407,407,0,
32601,820,820,0,
59594,527,527,0,
63835,1745,1745,0,
66633,711,711,0,
66869,569,569,0,
59500,1184,1184,0,
66608,2191,2191,0,
67182,642,642,0,
63968,2834,2834,0,
63966,1547,1547,0,
50767,548,548,0,
44013,449,449,0,
50757,462,462,0,
43921,915,915,0,
43916,725,725,0,
51181,1722,1722,0,
44073,1723,1723,0,
50768,462,462,0,
67248,1141,1141,0,
51133,5123,5123,0,
59574,646,646,0,
66625,433,433,0,
69191,100,100,0,
63279,1745,1745,0,
66617,280,280,0,
59641,248,248,0,
44005,1194,1194,0,
44014,2773,2773,0,
59492,2943,2943,0,
63982,849,849,0,
67868,1619,1619,0,
67871,725,725,0,
67872,486,486,0,
32592,1225,1225,0,
64034,108,108,0,
