Segment,Segment Users,Total Additions,Total Subtractions,
47576,1975755,1975755,0
52603,1943892,1943892,0
47571,2393041,2393041,0
52634,2076112,2076112,0
47462,1870256,1870256,0
47865,2067338,2067338,0
47559,663101,663101,0
47465,2401807,2401807,0
47833,2050561,2050561,0
47560,494727,494727,0
47475,660561,660561,0
47474,995029,995029,0
60322,174244,174244,0
59298,101244,101244,0
47538,593931,593931,0
47540,498093,498093,0
47478,517190,517190,0
47480,319188,319188,0
47539,166652,166652,0
47504,1293237,1293237,0
47505,150395,150395,0
47835,1219685,1219685,0
52601,171895,171895,0
47492,235486,235486,0
43627,58235,58235,0
44001,8330,8330,0
47472,987336,987336,0
43198,300521,300521,0
56587,661124,661124,0
56097,572857,572857,0
43618,26103,26103,0
65494,484051,484051,0
43913,7060,7060,0
47900,707165,707165,0
47463,233905,233905,0
66749,170515,170515,0
56597,514178,514178,0
67164,93577,93577,0
47906,78240,78240,0
47896,35853,35853,0
47894,77138,77138,0
47898,28643,28643,0
47895,213705,213705,0
47902,110187,110187,0
47584,418635,418635,0
47467,452116,452116,0
66607,133474,133474,0
69190,41288,41288,0
66610,49101,49101,0
52598,194555,194555,0
63284,101499,101499,0
47680,37844,37844,0
63315,51191,51191,0
47878,66522,66522,0
47585,133015,133015,0
66618,78654,78654,0
47580,283840,283840,0
47677,185695,185695,0
47687,69492,69492,0
47491,702045,702045,0
47469,186491,186491,0
47536,134704,134704,0
47502,319550,319550,0
47537,41239,41239,0
59586,121231,121231,0
47498,382627,382627,0
47487,308836,308836,0
47549,98208,98208,0
47554,250458,250458,0
47543,227586,227586,0
47499,118926,118926,0
47548,98172,98172,0
47909,61828,61828,0
47910,39588,39588,0
57091,105831,105831,0
57092,87568,87568,0
59570,654,654,0
59432,85021,85021,0
63150,48744,48744,0
59568,2255,2255,0
63283,109522,109522,0
47577,227641,227641,0
32569,5570,5570,0
32606,131446,131446,0
63821,14291,14291,0
62339,31263,31263,0
47563,178535,178535,0
62414,5052,5052,0
32587,114883,114883,0
32583,18587,18587,0
32577,67870,67870,0
32582,16207,16207,0
32602,34770,34770,0
32579,26243,26243,0
32605,104793,104793,0
59438,79993,79993,0
47575,70677,70677,0
47573,61699,61699,0
47572,61699,61699,0
47473,131700,131700,0
47866,35807,35807,0
47870,59756,59756,0
43841,82461,82461,0
47897,71777,71777,0
47476,76908,76908,0
44062,22413,22413,0
65955,39882,39882,0
32600,22284,22284,0
61279,44256,44256,0
47535,124662,124662,0
47904,187995,187995,0
32585,24216,24216,0
47640,43020,43020,0
67207,9148,9148,0
67209,4239,4239,0
67313,787,787,0
67264,2501,2501,0
67262,48785,48785,0
67169,2025,2025,0
67240,5598,5598,0
67239,3840,3840,0
67237,7137,7137,0
67250,89072,89072,0
67233,27736,27736,0
47495,128421,128421,0
63277,100637,100637,0
63281,97709,97709,0
63282,92097,92097,0
47918,117475,117475,0
56633,51294,51294,0
52613,72502,72502,0
47683,62667,62667,0
63378,66318,66318,0
47686,14163,14163,0
56832,39442,39442,0
56595,69365,69365,0
59426,2378,2378,0
59425,14311,14311,0
47552,46306,46306,0
56833,14102,14102,0
65791,19264,19264,0
65793,15988,15988,0
65787,24160,24160,0
50744,17859,17859,0
50368,17859,17859,0
59592,10256,10256,0
59593,158,158,0
59584,2610,2610,0
47490,128717,128717,0
55269,6779,6779,0
55321,22825,22825,0
64005,736,736,0
32589,4808,4808,0
62382,8806,8806,0
64003,420,420,0
56368,47961,47961,0
63826,1576,1576,0
63827,2720,2720,0
63829,4067,4067,0
62384,7136,7136,0
59582,10862,10862,0
60331,602,602,0
56376,12042,12042,0
56377,6962,6962,0
56569,2744,2744,0
56568,20128,20128,0
66145,135,135,0
66144,1687,1687,0
66142,2042,2042,0
66141,111,111,0
65789,1569,1569,0
56846,5377,5377,0
65792,1040,1040,0
65790,1359,1359,0
56836,18229,18229,0
65788,4686,4686,0
66438,279,279,0
43846,674,674,0
47907,20111,20111,0
59447,11397,11397,0
61822,22798,22798,0
64041,5239,5239,0
64040,6790,6790,0
64039,4675,4675,0
32603,24686,24686,0
32584,14401,14401,0
43954,14822,14822,0
45957,29736,29736,0
47854,61767,61767,0
66638,11417,11417,0
64065,9587,9587,0
44059,7309,7309,0
43917,5531,5531,0
60330,7992,7992,0
43914,2406,2406,0
51139,34545,34545,0
47555,34383,34383,0
47558,34938,34938,0
44024,9997,9997,0
61821,28270,28270,0
67235,3285,3285,0
67171,1361,1361,0
59583,14970,14970,0
63839,2538,2538,0
67860,676,676,0
67859,6348,6348,0
63815,2727,2727,0
63816,2745,2745,0
63818,5293,5293,0
36564,17414,17414,0
47669,27642,27642,0
43957,3017,3017,0
62337,4835,4835,0
32581,8801,8801,0
62386,3114,3114,0
32574,4835,4835,0
55272,2477,2477,0
44068,22330,22330,0
44061,29750,29750,0
43925,2160,2160,0
43621,21541,21541,0
44060,2878,2878,0
44064,13905,13905,0
44065,4008,4008,0
63320,16334,16334,0
47920,7568,7568,0
59588,9178,9178,0
59590,2112,2112,0
59500,2352,2352,0
63151,14327,14327,0
59492,5918,5918,0
59641,468,468,0
51134,11770,11770,0
51129,13370,13370,0
51130,10912,10912,0
44816,960,960,0
56380,4534,4534,0
51157,4291,4291,0
43919,4291,4291,0
47684,20029,20029,0
43953,14532,14532,0
67266,939,939,0
59441,2038,2038,0
59427,1297,1297,0
43951,4029,4029,0
43999,6549,6549,0
56016,3713,3713,0
51164,6711,6711,0
67251,861,861,0
59445,9535,9535,0
59879,352,352,0
63279,3511,3511,0
63280,4865,4865,0
47509,10132,10132,0
56373,2359,2359,0
32591,3728,3728,0
56571,4136,4136,0
51135,11749,11749,0
51131,8619,8619,0
59446,1548,1548,0
43928,6173,6173,0
63841,4750,4750,0
63923,2225,2225,0
63840,2527,2527,0
59489,11674,11674,0
66439,1151,1151,0
59490,1452,1452,0
59562,5535,5535,0
56015,890,890,0
43944,2437,2437,0
43952,9954,9954,0
67241,2658,2658,0
43625,4838,4838,0
67327,2654,2654,0
43926,2678,2678,0
62381,3524,3524,0
62334,9578,9578,0
32597,1021,1021,0
32575,6344,6344,0
63797,941,941,0
63801,913,913,0
63969,6083,6083,0
47641,12074,12074,0
47919,12074,12074,0
47917,10339,10339,0
